step,q
0,-0.5
0,-0.5
0,-0.5
0,-0.5
0,-0.5
0,-0.5
0,-0.5
0,-0.5
1,-0.5
1,-0.5
1,-0.5
1,-0.5
1,-0.5
1,-0.5
2,-0.5
2,-0.5
2,-0.5
2,-0.5
2,-0.5
2,-0.5
3,-0.5
3,-0.5
3,-0.5
3,-0.5
3,-0.5
3,-0.5
4,-0.5
4,-0.5
4,-0.5
4,-0.5
4,-0.5
4,-0.5
5,-0.5
5,-0.5
5,-0.5
5,-0.5
5,-0.5
5,-0.5
6,-0.5
6,-0.5
6,-0.5
6,-0.5
6,-0.5
6,-0.5
7,-0.5
7,-0.5
7,-0.5
7,-0.5
7,-0.5
7,-0.5
8,-0.5
8,-0.5
8,-0.5
8,-0.5
8,-0.5
8,-0.5
9,-0.5
9,-0.5
9,-0.5
9,-0.5
9,-0.5
9,-0.5
10,-0.5
10,-0.5
10,-0.5
10,-0.5
10,-0.5
10,-0.5
11,-0.5
11,-0.5
11,-0.5
11,-0.5
11,-0.5
11,-0.5
12,-0.5
12,-0.5
12,-0.5
12,-0.5
12,-0.5
12,-0.5
13,-0.5
13,-0.5
13,-0.5
13,-0.5
13,-0.5
13,-0.5
14,-0.5
14,-0.5
14,-0.5
14,-0.5
14,-0.5
14,-0.5
15,-0.5
15,-0.5
15,-0.5
15,-0.5
15,-0.5
15,-0.5
16,-0.5
16,-0.5
16,-0.5
16,-0.5
16,-0.5
16,-0.5
17,-0.5
17,-0.5
17,-0.5
17,-0.5
17,-0.5
17,-0.5
18,-0.5
18,-0.5
18,-0.5
18,-0.5
18,-0.5
18,-0.5
19,-0.5
19,-0.5
19,-0.5
19,-0.5
19,-0.5
19,-0.5
20,-0.5
20,-0.5
20,-0.5
20,-0.5
20,-0.5
20,-0.5
21,-0.5
21,-0.5
21,-0.5
21,-0.5
21,-0.5
21,-0.5
22,-0.5
22,-0.5
22,-0.5
22,-0.5
22,-0.5
22,-0.5
23,-0.5
23,-0.5
23,-0.5
23,-0.5
23,-0.5
23,-0.5
24,-0.5
24,-0.5
24,-0.5
24,-0.5
24,-0.5
24,-0.5
25,-0.5
25,-0.5
25,-0.5
25,-0.5
25,-0.5
25,-0.5
26,-0.5
26,-0.5
26,-0.5
26,-0.5
26,-0.5
26,-0.5
27,-0.5
27,-0.5
27,-0.5
27,-0.5
27,-0.5
27,-0.5
28,-0.5
28,-0.5
28,-0.5
28,-0.5
28,-0.5
28,-0.5
29,-0.5
29,-0.5
29,-0.5
29,-0.5
29,-0.5
29,-0.5
30,-0.5
30,-0.5
30,-0.5
30,-0.5
30,-0.5
30,-0.5
31,-0.5
31,-0.5
31,-0.5
31,-0.5
31,-0.5
31,-0.5
32,-0.5
32,-0.5
32,-0.5
32,-0.5
32,-0.5
32,-0.5
33,-0.5
33,-0.5
33,-0.5
33,-0.5
33,-0.5
33,-0.5
34,-0.5
34,-0.5
34,-0.5
34,-0.5
34,-0.5
34,-0.5
35,-0.5
35,-0.5
35,-0.5
35,-0.5
35,-0.5
35,-0.5
36,-0.5
36,-0.5
36,-0.5
36,-0.5
36,-0.5
36,-0.5
37,-0.5
37,-0.5
37,-0.5
37,-0.5
37,-0.5
37,-0.5
38,-0.5
38,-0.5
38,-0.45
38,-0.405
38,-0.44550000000000006
38,-0.4900500000000001
38,-0.4900500000000001
38,-0.4900500000000001
38,-0.4900500000000001
38,-0.4900500000000001
39,-0.4900500000000001
39,-0.4900500000000001
39,-0.4410450000000001
39,-0.3969405000000001
39,-0.4366345500000001
39,-0.4802980050000002
39,-0.4802980050000002
39,-0.4802980050000002
39,-0.4802980050000002
39,-0.4802980050000002
40,-0.4802980050000002
40,-0.4802980050000002
40,-0.4802980050000002
40,-0.4802980050000002
40,-0.4802980050000002
40,-0.4802980050000002
41,-0.4802980050000002
